,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
中国武夷,000797.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
中水渔业,000798.SZ,主要消费,食品、饮料与烟草,农牧渔产品,渔业产品,价值型
酒鬼酒,000799.SZ,主要消费,食品、饮料与烟草,饮料,白酒,成长型
一汽解放,000800.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
四川九洲,000801.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
ST北文,000802.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
北清环能,000803.SZ,工业,资本品,电气设备,新能源设备,混合型
ST银河,000806.SZ,工业,资本品,电气设备,电气部件与设备,价值型
云铝股份,000807.SZ,原材料,原材料,有色金属,铝,价值型
铁岭新城,000809.SZ,工业,资本品,建筑与工程,土木工程,混合型
创维数字,000810.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,混合型
冰轮环境,000811.SZ,工业,资本品,机械制造,通用机械,混合型
陕西金叶,000812.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,混合型
德展健康,000813.SZ,医药卫生,医药生物,制药,化学药,混合型
美利云,000815.SZ,原材料,原材料,纸类与林业产品,纸制品,混合型
智慧农业,000816.SZ,工业,资本品,机械制造,通用机械,价值型
航锦科技,000818.SZ,原材料,原材料,化学原料,化学原料,价值型
岳阳兴长,000819.SZ,原材料,原材料,化学制品,其他化学制品,成长型
*ST节能,000820.SZ,工业,资本品,环保设备、工程与服务,环保工程,价值型
京山轻机,000821.SZ,工业,资本品,机械制造,其他机械设备,混合型
山东海化,000822.SZ,原材料,原材料,化学原料,化学原料,价值型
超声电子,000823.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
太钢不锈,000825.SZ,原材料,原材料,钢铁,钢铁,价值型
启迪环境,000826.SZ,工业,资本品,环保设备、工程与服务,环保服务,混合型
